label,label_name,generator,split
1,fake,3,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,8,fit
0,real,0,fit
1,fake,3,fit
1,fake,6,fit
0,real,0,fit
1,fake,4,fit
1,fake,8,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,1,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,1,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,3,fit
1,fake,1,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
1,fake,4,fit
1,fake,1,fit
0,real,0,fit
1,fake,8,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,7,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,7,fit
1,fake,4,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,6,fit
1,fake,1,fit
1,fake,2,fit
1,fake,3,fit
1,fake,8,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
1,fake,1,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,6,fit
1,fake,6,fit
1,fake,8,fit
0,real,0,fit
1,fake,2,fit
1,fake,1,fit
1,fake,8,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,2,fit
1,fake,8,fit
1,fake,4,fit
1,fake,2,fit
0,real,0,fit
1,fake,6,fit
1,fake,4,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,6,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
1,fake,3,fit
1,fake,1,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,1,fit
1,fake,1,fit
1,fake,1,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,1,fit
1,fake,4,fit
1,fake,3,fit
1,fake,8,fit
0,real,0,fit
1,fake,6,fit
1,fake,8,fit
1,fake,1,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,8,fit
1,fake,8,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,6,fit
0,real,0,fit
1,fake,8,fit
1,fake,4,fit
0,real,0,fit
1,fake,8,fit
1,fake,3,fit
1,fake,7,fit
1,fake,2,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,8,fit
0,real,0,fit
1,fake,6,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
1,fake,1,fit
1,fake,1,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,3,fit
1,fake,7,fit
1,fake,3,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
1,fake,7,fit
1,fake,4,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,2,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,4,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,6,fit
1,fake,1,fit
1,fake,1,fit
1,fake,6,fit
0,real,0,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,4,fit
1,fake,6,fit
1,fake,1,fit
1,fake,4,fit
1,fake,7,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
1,fake,4,fit
1,fake,2,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,8,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,6,fit
1,fake,2,fit
1,fake,4,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,7,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,1,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,7,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,3,fit
1,fake,1,fit
1,fake,4,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
0,real,0,fit
1,fake,4,fit
1,fake,1,fit
1,fake,8,fit
1,fake,6,fit
0,real,0,fit
1,fake,1,fit
1,fake,1,fit
1,fake,2,fit
1,fake,3,fit
1,fake,6,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,8,fit
1,fake,8,fit
1,fake,6,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,4,fit
1,fake,4,fit
0,real,0,fit
1,fake,3,fit
1,fake,3,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,4,fit
1,fake,3,fit
0,real,0,fit
1,fake,6,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,2,fit
1,fake,3,fit
1,fake,1,fit
1,fake,4,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,6,fit
1,fake,6,fit
1,fake,3,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,8,fit
1,fake,6,fit
1,fake,6,fit
0,real,0,fit
1,fake,6,fit
1,fake,1,fit
1,fake,1,fit
1,fake,7,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,7,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,3,fit
1,fake,3,fit
1,fake,1,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
1,fake,2,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,8,fit
1,fake,1,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,2,fit
1,fake,3,fit
1,fake,4,fit
1,fake,8,fit
1,fake,6,fit
1,fake,4,fit
1,fake,3,fit
1,fake,8,fit
1,fake,2,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,8,fit
1,fake,4,fit
1,fake,3,fit
0,real,0,fit
1,fake,2,fit
1,fake,7,fit
1,fake,8,fit
1,fake,4,fit
1,fake,3,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,7,fit
1,fake,4,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,1,fit
0,real,0,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
1,fake,4,fit
1,fake,3,fit
1,fake,6,fit
1,fake,2,fit
1,fake,1,fit
1,fake,7,fit
1,fake,4,fit
0,real,0,fit
1,fake,6,fit
1,fake,8,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,2,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,8,fit
1,fake,6,fit
1,fake,2,fit
1,fake,1,fit
0,real,0,fit
1,fake,2,fit
1,fake,1,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,1,fit
1,fake,4,fit
1,fake,8,fit
1,fake,2,fit
0,real,0,fit
1,fake,8,fit
1,fake,7,fit
1,fake,4,fit
1,fake,6,fit
0,real,0,fit
1,fake,7,fit
1,fake,3,fit
1,fake,4,fit
1,fake,7,fit
1,fake,1,fit
1,fake,8,fit
1,fake,8,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,7,fit
0,real,0,fit
1,fake,4,fit
1,fake,3,fit
1,fake,7,fit
1,fake,8,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,4,fit
1,fake,3,fit
0,real,0,fit
1,fake,4,fit
1,fake,2,fit
1,fake,2,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,1,fit
1,fake,1,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,1,fit
0,real,0,fit
1,fake,4,fit
1,fake,6,fit
1,fake,3,fit
1,fake,7,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,2,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,7,fit
1,fake,3,fit
1,fake,2,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,3,fit
1,fake,3,fit
1,fake,6,fit
0,real,0,fit
1,fake,6,fit
1,fake,2,fit
1,fake,2,fit
0,real,0,fit
1,fake,1,fit
1,fake,2,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,4,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,3,fit
1,fake,7,fit
1,fake,4,fit
1,fake,4,fit
0,real,0,fit
1,fake,7,fit
1,fake,2,fit
1,fake,8,fit
1,fake,8,fit
1,fake,2,fit
1,fake,8,fit
1,fake,4,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
0,real,0,fit
1,fake,2,fit
1,fake,6,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,7,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,6,fit
1,fake,3,fit
1,fake,4,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,7,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,1,fit
1,fake,2,fit
1,fake,4,fit
1,fake,6,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,8,fit
1,fake,2,fit
1,fake,8,fit
0,real,0,fit
1,fake,3,fit
1,fake,6,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,1,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,3,fit
1,fake,6,fit
1,fake,4,fit
1,fake,1,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
1,fake,8,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
0,real,0,fit
1,fake,8,fit
1,fake,2,fit
0,real,0,fit
1,fake,7,fit
1,fake,3,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
1,fake,6,fit
1,fake,6,fit
1,fake,4,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
1,fake,3,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,2,fit
1,fake,2,fit
1,fake,8,fit
0,real,0,fit
1,fake,8,fit
1,fake,4,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,4,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,8,fit
1,fake,1,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,2,fit
1,fake,7,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,2,fit
1,fake,3,fit
0,real,0,fit
1,fake,1,fit
1,fake,8,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,1,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,8,fit
1,fake,3,fit
0,real,0,fit
1,fake,2,fit
1,fake,4,fit
1,fake,3,fit
1,fake,3,fit
1,fake,6,fit
1,fake,6,fit
1,fake,3,fit
0,real,0,fit
1,fake,7,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,3,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,3,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,4,fit
1,fake,7,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,3,fit
1,fake,3,fit
1,fake,3,fit
1,fake,4,fit
1,fake,6,fit
1,fake,6,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,3,fit
1,fake,2,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
1,fake,1,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,6,fit
1,fake,4,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
1,fake,3,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,6,fit
0,real,0,fit
1,fake,3,fit
1,fake,8,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
1,fake,1,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,4,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
1,fake,2,fit
1,fake,7,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
1,fake,1,fit
1,fake,8,fit
1,fake,4,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
1,fake,3,fit
0,real,0,fit
1,fake,3,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,8,fit
1,fake,1,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,1,fit
1,fake,3,fit
1,fake,3,fit
1,fake,6,fit
0,real,0,fit
1,fake,7,fit
1,fake,1,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,2,fit
1,fake,8,fit
1,fake,3,fit
0,real,0,fit
1,fake,1,fit
1,fake,3,fit
0,real,0,fit
1,fake,8,fit
1,fake,2,fit
1,fake,7,fit
1,fake,2,fit
1,fake,2,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,6,fit
1,fake,8,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,3,fit
1,fake,8,fit
1,fake,3,fit
1,fake,7,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
1,fake,1,fit
0,real,0,fit
1,fake,3,fit
1,fake,1,fit
1,fake,7,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,8,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,2,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
1,fake,2,fit
1,fake,8,fit
1,fake,8,fit
1,fake,7,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,8,fit
1,fake,2,fit
1,fake,6,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,1,fit
1,fake,4,fit
0,real,0,fit
1,fake,3,fit
1,fake,6,fit
1,fake,2,fit
0,real,0,fit
1,fake,4,fit
1,fake,1,fit
0,real,0,fit
0,real,0,fit
1,fake,4,fit
0,real,0,fit
1,fake,1,fit
1,fake,2,fit
1,fake,7,fit
1,fake,8,fit
0,real,0,fit
1,fake,4,fit
1,fake,7,fit
1,fake,2,fit
1,fake,6,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,2,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
0,real,0,fit
1,fake,7,fit
1,fake,2,fit
0,real,0,fit
1,fake,7,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
1,fake,8,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
0,real,0,fit
1,fake,6,fit
0,real,0,fit
1,fake,8,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,6,fit
1,fake,7,fit
1,fake,8,fit
1,fake,2,fit
1,fake,3,fit
1,fake,8,fit
1,fake,4,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
1,fake,3,fit
1,fake,3,fit
0,real,0,fit
1,fake,8,fit
1,fake,3,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,7,fit
1,fake,8,fit
0,real,0,fit
0,real,0,fit
1,fake,3,fit
0,real,0,fit
0,real,0,fit
0,real,0,fit
